area_type,location,Society,size,Baths,total_sqft,price,availability,,
,Koregaon Park,,2 bhk,2,1350,54.00,,,
,Koregaon Park,,3 bhk,2,1200,42.00,,,
,Sahakar Nagar,,6 bhk,6,1300,145.00,,,
,Dhankawadi,,2 bhk,1,1800,80.00,,,
,Dhankawadi,,2 bhk,2,950,40.00,,,
,Katraj,,1 bhk,1,525,27.25,,,
,Sinhgad Road,,2 bhk,2,656,25.00,,,
,Shivaji Nagar,,4 bhk,4,1780,175.00,,,
,Shivaji Nagar,,2 bhk,2,1056,80.00,,,
,Shivaji Nagar,,1 bhk,1,595,33.32,,,
,Sinhgad Road,,2 bhk,2,1080,50.00,,,
,Shivaji Nagar,,3 bhk,3,2225,160.00,,,
,Swargate,,2 bhk,2,1126,28.15,,,
,Shivaji Nagar,,3 bhk,3,1490,84.00,,,
,Shivaji Nagar,,4 bhk,4,2000,300.00,,,
,Shivaji Nagar,,3 bhk,3,1550,100.00,,,
,Hadapsar,,3 bhk,3,1600,86.00,,,
,Shivaji Nagar,,2 bhk,2,1160,55.00,,,
,Shivaji Nagar,,4 bhk,4,4144,315.00,,,
,Hadapsar,,3 bhk,3,2100,125.00,,,
,Hadapsar,,2 bhk,2,1404,69.30,,,
,Koregaon Park,,4 bhk,4,2230,225.00,,,
,Sinhgad Road,,3 bhk,3,1544,120.00,,,
,Sinhgad Road,,3 bhk,2,1305,58.70,,,
,Bibwewadi,,2 bhk,2,1230,80.00,,,
,Ambegaon,,2 bhk,2,1200,65.00,,,
,Ambegaon,,3 bhk,3,1460,73.00,,,
,Amanora Town,,,,1200 - 2400,34.19,,,
,Amanora Town,,2 bhk,2,967,45.00,,,
,Balaji Nagar,,1 bhk,1,540,36.00,,,
,Baner,,1 bhk,1,715,46.00,,,
,Baner,,3 bhk,3,2500,313.00,,,
,Baner,,3 bhk,3,1578,180.00,,,
,Baner,,2 bhk,2,1020,48.95,,,
,Bibwewadi,,2 bhk,2,1020,40.00,,,
,Bibwewadi,,2 bhk,2,1253,102.00,,,
,Budhwar Peth,,2 bhk,2,1180,42.00,,,
,Bund Garden,,2 bhk,2,961,38.00,,,
,Camp,,3 bhk,3,1419,75.00,,,
,Bibwewadi,,3 bhk,3,1709,150.00,,,
,Dhankawadi,,2 bhk,2,1600,115.00,,,
,Deccan Gymkhana,,1 bhk,1,416,18.50,,,
,Bibwewadi,,2 bhk,2,1100,98.00,,,
,Dhankawadi,,3 bhk,2,1430,65.00,,,
,Dhankawadi,,2 bhk,2,1260,45.00,,,
,Bibwewadi,,3 bhk,3,1630,85.00,,,
,Karve Nagar,,3 bhk,3,1249,44.71,,,
,Katraj,,3 bhk,2,1450,85.00,,,
,FC Road,,3 bhk,3,2791,223.00,,,
,Katraj,,1 bhk,1,600,90.00,,,
,FC Road,,1 bhk,1,834,60.00,,,
,Bibwewadi,,3 bhk,4,1125,70.00,,,
,FC Road,,3 bhk,3,2060,140.00,,,
,Swargate,,7 bhk,7,12000,2200.00,,,
,Swargate,,2 bhk,2,891,25.00,,,
,Swargate,,2 bhk,2,1133,49.07,,,
,Hadapsar,,3 bhk,2,1075,37.00,,,
,Sinhgad Road,,4 bhk,5,3000,260.00,,,
,Sinhgad Road,,4 bhk,5,2440,425.00,,,
,Koregaon Park,,2 bhk,2,1200,55.00,,,
,Swargate,,2 bhk,2,1075,45.80,,,
,Karve Nagar,,2 bhk,2,1140,40.00,,,
,Karve Nagar,,5 bhk,4,940,150.00,,,
,AB Chowk,,6 bhk,5,2160,250.00,,,
,Katraj,,2 bhk,2,1090,42.00,,,
,AB Chowk,,4 bhk,4,1500,70.00,,,
,AB Chowk,,4 bhk,4,4104,360.00,,,
,Dhankawadi,,3 bhk,3,1790,100.00,,,
,Kondhwa,,3 bhk,3,1920,134.00,,,
,Kondhwa,,2 bhk,2,1374,95.00,,,
,Kondhwa,,3 bhk,3,1445,95.00,,,
,Koregaon Park,,1 bhk,1,711,36.00,,,
,Kothrud,,3 bhk,3,1500,95.00,,,
,Katraj,,3 bhk,3,1720,100.00,,,
,Shivaji Nagar,,3 bhk,3,1400,60.00,,,
,Katraj,,2 bhk,2,1030,49.00,,,
,Katraj,,2 bhk,2,1200,85.00,,,
,Katraj,,3 bhk,3,1375,70.00,,,
,Katraj,,2 bhk,1,1050,56.00,,,
,Market yard,,3 bhk,3,2250,160.00,,,
,Model colony,,2 bhk,2,1000,50.00,,,
,Swargate,,1 bhk,1,469,25.00,,,
,Swargate,,4 bhk,4,3800,250.00,,,
,Swargate,,2 bhk,2,883,29.00,,,
,Swargate,,3 bhk,2,1820,86.00,,,
,Swargate,,3 bhk,2,1440,65.00,,,
,Balaji Nagar,,6 bhk,4,3600,160.00,,,
,Balaji Nagar,,4 bhk,5,2500,325.00,,,
,Padmavati,,2 bhk,2,1225,48.00,,,
,Balaji Nagar,,3 bhk,3,4000,660.00,,,
,Swargate,,2 bhk,2,875,52.80,,,
,Swargate,,1 bhk,1,750,40.00,,,
,Swargate,,2 bhk,2,1180,80.00,,,
,Koregaon Park,,2 bhk,2,1194,47.00,,,
,Pune Railway Station,,3 bhk,2,1500,62.00,,,
,Koregaon Park,,2 bhk,2,1160,52.20,,,
,Koregaon Park,,9 bhk,9,4125,265.00,,,
,Koregaon Park,,3 bhk,3,2378,262.00,,,
,Sahakar Nagar,,2 bhk,2,1128,60.00,,,
,Dhankawadi,,3 bhk,3,1500,150.00,,,
,Dhankawadi,,3 bhk,2,1220,35.23,,,
,Katraj,,2 bhk,2,1210,58.00,,,
,Sinhgad Road,,3 bhk,2,1100,58.00,,,
,Shivaji Nagar,,3 bhk,3,1200,46.00,,,
,Shivaji Nagar,,4 bhk,5,3385,260.00,,,
,Shivaji Nagar,,3 bhk,3,1641,66.00,,,
,Sinhgad Road,,2 bhk,2,1200,45.00,,,
,Shivaji Nagar,,2 bhk,2,1260,67.39,,,
,Swargate,,3 bhk,3,1720,78.00,,,
,Shivaji Nagar,,2 bhk,2,1120 - 1145,48.13,,,
,Shivaji Nagar,,2 bhk,2,1210,45.98,,,
,Shivaji Nagar,,4 bhk,4,2200,200.00,,,
,Hadapsar,,3 bhk,2,1075,45.00,,,
,Shivaji Nagar,,3 bhk,3,1702,130.00,,,
,Shivaji Nagar,,2 bhk,2,1630,200.00,,,
,Hadapsar,,2 bhk,2,1141,38.55,,,
,Hadapsar,,3 bhk,3,2072,108.00,,,
,Koregaon Park,,5 bhk,,4400 - 6640,375.00,,,
,Sinhgad Road,,3 bhk,2,1200,70.00,,,
,Sinhgad Road,,3 bhk,3,1350,77.00,,,
,Bibwewadi,,4 bhk,4,3090 - 5002,445.00,,,
,Ambegaon,,3 bhk,2,1180,78.34,,,
,Ambegaon,,3 bhk,3,35000,130.00,,,
,Amanora Town,,2 bhk,2,1355,115.00,,,
,Amanora Town,,1 bhk,1,600,50.00,,,
,Balaji Nagar,,7 bhk,7,1200,150.00,,,
,Baner,,3 bhk,2,1640,120.00,,,
,Baner,,5 bhk,5,1200,100.00,,,
,Baner,,3 bhk,2,1190,57.00,,,
,Baner,,4 bhk,4,2400,375.00,,,
,Bibwewadi,,2 bhk,2,1019,49.85,,,
,Bibwewadi,,3 bhk,3,1875,165.00,,,
,Budhwar Peth,,3 bhk,3,1250,40.00,,,
,Bund Garden,,3 bhk,3,1200,140.00,,,
,Camp,,2 bhk,2,1140,56.00,,,
,Bibwewadi,,3 bhk,3,1683,109.00,,,
,Dhankawadi,,3 bhk,3,1515,83.30,,,
,Deccan Gymkhana,,4 bhk,4,2118,111.00,,,
,Bibwewadi,,4 bhk,3,1380,58.00,,,
,Dhankawadi,,2 bhk,2,1083,61.75,,,
,Dhankawadi,,2 bhk,2,600,55.00,,,
,Bibwewadi,,3 bhk,3,2300,120.00,,,
,Karve Nagar,,2 bhk,2,1240,60.00,,,
,Katraj,,3 bhk,3,1750,120.00,,,
,FC Road,,2 bhk,2,1230,43.48,,,
,Katraj,,3 bhk,3,1500,139.00,,,
,FC Road,,2 bhk,2,985,40.39,,,
,Bibwewadi,,3 bhk,2,1500,87.00,,,
,FC Road,,2 bhk,2,1125,32.49,,,
,Swargate,,2 bhk,2,950,44.00,,,
,Swargate,,5 bhk,,4400 - 6800,548.50,,,
,Swargate,,3 bhk,3,1580,76.00,,,
,Hadapsar,,3 bhk,2,1092,98.50,,,
,Sinhgad Road,,2 bhk,2,1090,28.34,,,
,Sinhgad Road,,3 bhk,3,2264,159.00,,,
,Koregaon Park,,3 bhk,2,1033,25.53,,,
,Swargate,,2 bhk,2,810,24.50,,,
,Karve Nagar,,2 bhk,2,1045,45.00,,,
,Karve Nagar,,2 bhk,2,1337,82.00,,,
,AB Chowk,,2 bhk,2,1200,32.00,,,
,Katraj,,3 bhk,3,1580,160.00,,,
,AB Chowk,,3 bhk,2,1500,54.00,,,
,AB Chowk,,3 bhk,4,1640,91.00,,,
,Dhankawadi,,3 bhk,3,1570,62.00,,,
,Kondhwa,,3 bhk,2,1470,82.00,,,
,Kondhwa,,2 bhk,2,1160,40.61,,,
,Kondhwa,,2 bhk,2,1050,71.00,,,
,Koregaon Park,,3 bhk,3,1855,225.00,,,
,Kothrud,,3 bhk,2,1460,90.00,,,
,Katraj,,3 bhk,3,1823,100.00,,,
,Shivaji Nagar,,2 bhk,2,1094,42.00,,,
,Katraj,,2 bhk,2,1153,57.00,,,
,Katraj,,3 bhk,3,1325,57.00,,,
,Katraj,,4 bhk,3,1200,85.00,,,
,Katraj,,3 bhk,2,1590,125.00,,,
,Market yard,,5 bhk,4,1210,160.00,,,
,Model colony,,4 bhk,4,1200,220.00,,,
,Swargate,,2 bhk,2,1202,48.00,,,
,Swargate,,2 bhk,2,1202,53.00,,,
,Swargate,,2 bhk,2,1200,62.50,,,
,Swargate,,3 bhk,3,1688,118.00,,,
,Swargate,,2 bhk,2,1020,52.00,,,
,Balaji Nagar,,2 bhk,2,1185,47.00,,,
,Balaji Nagar,,2 bhk,2,1235,52.04,,,
,Padmavati,,4 bhk,5,3205,500.00,,,
,Balaji Nagar,,2 bhk,2,1077,37.64,,,
,Swargate,,3 bhk,2,1415,66.00,,,
,Swargate,,3 bhk,3,2330,162.00,,,
,Swargate,,2 bhk,2,805,35.00,,,
,Koregaon Park,,1 bhk,1,425,20.03,,,
,Pune Railway Station,,2 bhk,2,1155,59.95,,,
,Koregaon Park,,4 bhk,4,5270,1250.00,,,
,Koregaon Park,,2 bhk,2,656,22.00,,,
,Koregaon Park,,2 bhk,2,1100,48.00,,,
,Sahakar Nagar,,2 bhk,2,1150,52.00,,,
,Dhankawadi,,1 bhk,1,600,60.00,,,
,Dhankawadi,,2 bhk,2,1468,140.00,,,
,Katraj,,4 bhk,5,4300,550.00,,,
,Sinhgad Road,,3 bhk,4,2280,126.00,,,
,Shivaji Nagar,,2 bhk,2,1341,97.00,,,
,Shivaji Nagar,,2 bhk,2,1279,77.00,,,
,Shivaji Nagar,,4 bhk,4,2225,98.88,,,
,Sinhgad Road,,2 bhk,2,1185,43.51,,,
,Shivaji Nagar,,3 bhk,3,1750,85.00,,,
,Swargate,,2 bhk,2,1152,53.50,,,
,Shivaji Nagar,,5 bhk,4,1000,160.00,,,
,Shivaji Nagar,,2 bhk,2,1300,36.00,,,
,Shivaji Nagar,,4 bhk,4,2760,155.00,,,
,Hadapsar,,2 bhk,2,1070,39.00,,,
,Shivaji Nagar,,2 bhk,2,1101,45.00,,,
,Shivaji Nagar,,2 bhk,2,775,55.00,,,
,Hadapsar,,1 bhk,1,667,36.85,,,
,Hadapsar,,2 bhk,2,1070,55.00,,,
,Koregaon Park,,3 bhk,2,1875,110.00,,,
,Sinhgad Road,,2 bhk,2,735,57.99,,,
,Sinhgad Road,,5 bhk,4,4360,90.00,,,
,Bibwewadi,,3 bhk,3,1750,130.00,,,
,Ambegaon,,2 bhk,2,1215,67.00,,,
,Ambegaon,,9 bhk,9,600,190.00,,,
,Amanora Town,,2 bhk,2,820,30.00,,,
,Amanora Town,,2 bhk,2,1160 - 1195,59.94,,,
,Balaji Nagar,,3 bhk,3,1779,89.61,,,
,Baner,,2 bhk,2,1105,58.00,,,
,Baner,,1 bhk,2,1000,93.00,,,
,Baner,,3 bhk,3,1650,60.00,,,
,Baner,,2 bhk,2,1694,150.00,,,
,Bibwewadi,,3 bhk,3,2376,203.00,,,
,Bibwewadi,,3 bhk,3,1975,150.00,,,
,Budhwar Peth,,2 bhk,2,674,33.00,,,
,Bund Garden,,2 bhk,2,1185,41.00,,,
,Camp,,1 RK,1,445,28.00,,,
,Bibwewadi,,6 bhk,7,900,76.00,,,
,Dhankawadi,,3 bhk,3,1475,75.00,,,
,Deccan Gymkhana,,3 bhk,3,1618,82.50,,,
,Bibwewadi,,2 bhk,2,1120,65.00,,,
,Dhankawadi,,4 bhk,3,2181,152.00,,,
,Dhankawadi,,4 bhk,4,1200,90.00,,,
,Bibwewadi,,6 bhk,4,600,65.00,,,
,Karve Nagar,,3 bhk,2,1556,59.13,,,
,Katraj,,2 bhk,2,1179,66.02,,,
,FC Road,,2 bhk,2,1296,83.00,,,
,Katraj,,2 bhk,2,1275,52.00,,,
,FC Road,,7 bhk,2,1875,300.00,,,
,Bibwewadi,,3 bhk,2,1400,77.00,,,
,FC Road,,2 bhk,2,1222,63.00,,,
,Swargate,,2 bhk,2,940,41.00,,,
,Swargate,,2 bhk,2,1185,42.60,,,
,Swargate,,3 bhk,3,1779,112.00,,,
,Hadapsar,,3 bhk,3,1615,59.76,,,
,Sinhgad Road,,4 bhk,,4000 - 5249,453.00,,,
,Sinhgad Road,,2 bhk,2,1056,61.00,,,
,Koregaon Park,,2 bhk,2,1100,46.00,,,
,Swargate,,2 bhk,2,920,40.00,,,
,Karve Nagar,,3 bhk,2,1602,75.00,,,
,Karve Nagar,,2 bhk,2,1176,62.00,,,
,AB Chowk,,4 bhk,3,675,59.00,,,
,Katraj,,3 bhk,3,1352,135.00,,,
,AB Chowk,,3 bhk,3,1717,99.00,,,
,AB Chowk,,4 bhk,4,10961,80.00,,,
,Dhankawadi,,4 bhk,4,2119,111.00,,,
,Kondhwa,,2 bhk,2,1246,67.30,,,
,Kondhwa,,2 bhk,2,1141,42.79,,,
,Kondhwa,,2 bhk,2,1157,84.00,,,
,Koregaon Park,,2 bhk,2,1025,27.68,,,
,Kothrud,,1 bhk,1,650,33.00,,,
,Katraj,,2 bhk,2,1349,98.00,,,
,Shivaji Nagar,,3 bhk,3,1566,83.30,,,
,Katraj,,4 bhk,3,2830,195.00,,,
,Katraj,,3 bhk,2,1320,38.13,,,
,Katraj,,3 bhk,3,1780,84.83,,,
,Katraj,,2 bhk,2,1091,34.90,,,
,Market yard,,4 bhk,4,3670,300.00,,,
,Model colony,,2 bhk,2,918,50.49,,,
,Swargate,,4 bhk,4,1950,130.00,,,
,Swargate,,3 bhk,3,1695,90.00,,,
,Swargate,,3 bhk,3,1705,95.00,,,
,Swargate,,3 bhk,3,1375,75.00,,,
,Swargate,,1 bhk,1,525,30.00,,,
,Balaji Nagar,,2 bhk,2,1447,83.00,,,
,Balaji Nagar,,2 bhk,2,1114,39.00,,,
,Padmavati,,3 bhk,2,1450,100.00,,,
,Balaji Nagar,,2 bhk,1,460,15.00,,,
,Swargate,,2 bhk,2,1022,40.00,,,
,Swargate,,2 bhk,2,1000,45.00,,,
,Swargate,,2 bhk,2,1128,68.75,,,
,Koregaon Park,,2 bhk,2,1180,57.00,,,
,Pune Railway Station,,6 bhk,6,1000,69.00,,,
,Koregaon Park,,2 bhk,2,1200,150.00,,,
,Koregaon Park,,3 bhk,3,3761,660.00,,,
,Koregaon Park,,2 bhk,2,1339,75.00,,,
,Sahakar Nagar,,3 bhk,2,1400,55.00,,,
,Dhankawadi,,2 bhk,2,1040,39.52,,,
,Dhankawadi,,2 bhk,2,1198,58.00,,,
,Katraj,,4 bhk,3,1200,95.00,,,
,Sinhgad Road,,3 bhk,3,1691,113.00,,,
,Shivaji Nagar,,3 bhk,3,1075,36.00,,,
,Shivaji Nagar,,3 bhk,3,1630,194.00,,,
,Shivaji Nagar,,3 bhk,3,1240,43.50,,,
,Sinhgad Road,,2 bhk,2,1115 - 1130,58.94,,,
,Shivaji Nagar,,3 bhk,3,1665,86.58,,,
,Swargate,,3 bhk,3,2489,94.00,,,
,Shivaji Nagar,,2 bhk,2,1142,70.00,,,
,Shivaji Nagar,,3 bhk,3,1976,184.00,,,
,Shivaji Nagar,,4 bhk,4,5500,600.00,,,
,Hadapsar,,3 bhk,3,1853,82.00,,,
,Shivaji Nagar,,8 bhk,4,600,72.00,,,
,Shivaji Nagar,,2 bhk,2,1567,92.00,,,
,Hadapsar,,2 bhk,2,1090,27.24,,,
,Hadapsar,,6 bhk,4,1200,125.00,,,
,Koregaon Park,,4 bhk,4,2400,640.00,,,
,Sinhgad Road,,2 bhk,2,1175,51.47,,,
,Sinhgad Road,,2 bhk,2,1200,52.00,,,
,Bibwewadi,,2 bhk,2,995,41.00,,,
,Ambegaon,,2 bhk,2,884,41.10,,,
,Ambegaon,,5 bhk,3,900,80.00,,,
,Amanora Town,,2 bhk,2,1170,57.00,,,
,Amanora Town,,2 bhk,2,1225,46.55,,,
,Balaji Nagar,,2 bhk,2,1342,73.30,,,
,Baner,,2 bhk,2,1345,67.00,,,
,Baner,,3 bhk,3,1320,65.00,,,
,Baner,,2 bhk,2,1600,45.00,,,
,Baner,,2 bhk,2,1140,49.39,,,
,Bibwewadi,,2 bhk,2,1300,50.00,,,
,Bibwewadi,,3 bhk,3,1652,85.00,,,
,Budhwar Peth,,3 bhk,4,2072,142.00,,,
,Bund Garden,,3 bhk,2,1740,95.00,,,
,Camp,,3 bhk,2,1360,71.00,,,
,Bibwewadi,,3 bhk,2,1145,60.00,,,
,Dhankawadi,,3 bhk,2,1540,40.00,,,
,Deccan Gymkhana,,2 bhk,2,1278,95.00,,,
,Bibwewadi,,1 bhk,1,630,40.00,,,
,Dhankawadi,,3 bhk,3,1100,58.00,,,
,Dhankawadi,,3 bhk,3,1200,95.00,,,
,Bibwewadi,,7 bhk,6,2500,115.00,,,
,Karve Nagar,,1 bhk,1,520 - 645,15.14,,,
,Katraj,,2 bhk,2,1015,25.88,,,
,FC Road,,5 bhk,5,3300,240.00,,,
,Katraj,,5 bhk,5,4500,415.00,,,
,FC Road,,3 bhk,2,1356,66.00,,,
,Bibwewadi,,2 bhk,2,823,28.00,,,
,FC Road,,3 bhk,2,1200,66.00,,,
,Swargate,,2 bhk,2,1050,37.00,,,
,Swargate,,2 bhk,2,1180,69.00,,,
,Swargate,,2 bhk,2,1116,51.91,,,
,Hadapsar,,2 bhk,2,1070,42.79,,,
,Sinhgad Road,,2 bhk,2,1385,80.00,,,
,Sinhgad Road,,1 bhk,1,1000,70.00,,,
,Koregaon Park,,3 bhk,3,1897,130.00,,,
,Swargate,,2 bhk,2,1005,55.78,,,
,Karve Nagar,,3 bhk,3,1575,125.00,,,
,Karve Nagar,,2 bhk,2,975,65.00,,,
,AB Chowk,,3 bhk,3,1904,120.00,,,
,Katraj,,1 bhk,1,930,30.00,,,
,AB Chowk,,1 bhk,1,525,26.00,,,
,AB Chowk,,1 bhk,1,686,17.00,,,
,Dhankawadi,,2 bhk,3,2400,150.00,,,
,Kondhwa,,2 bhk,1,1410,233.00,,,
,Kondhwa,,3 bhk,3,2238,140.00,,,
,Kondhwa,,2 bhk,2,1174,69.00,,,
,Koregaon Park,,4 bhk,4,3800,239.00,,,
,Kothrud,,3 bhk,2,2225,125.00,,,
,Katraj,,2 bhk,2,1250,200.00,,,
,Shivaji Nagar,,2 bhk,2,918,52.00,,,
,Katraj,,2 bhk,2,1250,52.00,,,
,Katraj,,3 bhk,3,1800,110.00,,,
,Katraj,,2 bhk,2,1170,53.00,,,
,Katraj,,1 bhk,1,1300,200.00,,,
,Market yard,,2 bhk,2,793,45.00,,,
,Model colony,,3 bhk,3,1710,107.00,,,
,Swargate,,3 bhk,2,1082,57.50,,,
,Swargate,,2 bhk,2,1001,33.03,,,
,Swargate,,4 bhk,4,1500,180.00,,,
,Swargate,,3 bhk,2,1590,54.00,,,
,Swargate,,3 bhk,2,2400,80.00,,,
,Balaji Nagar,,3 bhk,3,1554,55.00,,,
,Balaji Nagar,,2 bhk,2,1000 - 1285,43.42,,,
,Padmavati,,5 bhk,5,4239,423.00,,,
,Balaji Nagar,,2 bhk,1,884,58.00,,,
,Swargate,,2 bhk,2,1045,98.89,,,
,Swargate,,2 bhk,2,1019,49.86,,,
,Swargate,,3 bhk,4,1935,130.00,,,
,Koregaon Park,,3 bhk,2,1135,39.73,,,
,Pune Railway Station,,3 bhk,3,1680,150.00,,,
,Koregaon Park,,4 bhk,5,2470,247.00,,,
,Koregaon Park,,4 bhk,4,2825,250.00,,,
,Koregaon Park,,3 bhk,3,2480,330.00,,,
,Sahakar Nagar,,9 bhk,11,1260,290.00,,,
,Dhankawadi,,5 bhk,4,1800,187.00,,,
,Dhankawadi,,3 bhk,3,1799,90.00,,,
,Katraj,,4 bhk,,3606 - 5091,304.00,,,
,Sinhgad Road,,1 bhk,1,400,11.00,,,
,Shivaji Nagar,,2 bhk,2,1047,82.00,,,
,Shivaji Nagar,,2 bhk,2,1282,87.00,,,
,Shivaji Nagar,,2 bhk,2,1020,45.90,,,
,Sinhgad Road,,4 bhk,3,1080,155.00,,,
,Shivaji Nagar,,2 bhk,2,1495,79.50,,,
,Swargate,,4 bhk,4,3260,240.00,,,
,Shivaji Nagar,,3 bhk,2,1611,64.44,,,
,Shivaji Nagar,,4 bhk,5,3500,425.00,,,
,Shivaji Nagar,,3 bhk,2,1500,95.00,,,
,Hadapsar,,3 bhk,2,1500,95.00,,,
,Shivaji Nagar,,4 bhk,5,3206,270.00,,,
,Shivaji Nagar,,3 bhk,3,1540,50.00,,,
,Hadapsar,,3 bhk,3,1639,80.00,,,
,Hadapsar,,4 bhk,4,700,72.00,,,
,Koregaon Park,,2 bhk,2,1303,55.79,,,
,Sinhgad Road,,2 bhk,1,1005,110.00,,,
,Sinhgad Road,,1 bhk,1,650 - 665,18.41,,,
,Bibwewadi,,3 bhk,3,1305,33.28,,,
,Ambegaon,,3 bhk,4,600,95.00,,,
,Ambegaon,,2 bhk,1,1300,115.00,,,
,Amanora Town,,3 bhk,2,1440,68.00,,,
,Amanora Town,,2 bhk,2,901,35.14,,,
,Balaji Nagar,,3 bhk,3,1725,200.00,,,
,Baner,,3 bhk,2,900,42.00,,,
,Baner,,2 bhk,2,1060,55.00,,,
,Baner,,2 bhk,2,1020,48.45,,,
,Baner,,3 bhk,3,1535,65.99,,,
,Bibwewadi,,1 bhk,1,530,20.00,,,
,Bibwewadi,,3 bhk,3,1464,56.00,,,
,Budhwar Peth,,2 bhk,2,1350,80.00,,,
,Bund Garden,,2 bhk,2,1115,50.00,,,
,Camp,,2 bhk,2,1175,47.00,,,
,Bibwewadi,,2 bhk,2,1113,62.00,,,
,Dhankawadi,,6 bhk,4,1200,225.00,,,
,Deccan Gymkhana,,5 bhk,4,1640,240.00,,,
,Bibwewadi,,2 bhk,2,650,42.00,,,
,Dhankawadi,,2 bhk,2,1325,71.55,,,
,Dhankawadi,,2 bhk,2,950,31.00,,,
,Bibwewadi,,3 bhk,2,1396,86.51,,,
,Karve Nagar,,2 bhk,2,1050,52.07,,,
,Katraj,,3 bhk,3,1825,100.00,,,
,FC Road,,2 bhk,2,1190,49.98,,,
,Katraj,,2 bhk,2,1220,56.50,,,
,FC Road,,3 bhk,2,1565,75.00,,,
,Bibwewadi,,3 bhk,3,1891,109.00,,,
,FC Road,,2 bhk,2,900,27.00,,,
,Swargate,,2 bhk,2,1161,55.15,,,
,Swargate,,1 bhk,1,633 - 666,17.54,,,
,Swargate,,8 bhk,6,2400,125.00,,,
,Hadapsar,,4 bhk,4,315,90.00,,,
,Sinhgad Road,,1 bhk,1,665,36.85,,,
,Sinhgad Road,,2 bhk,2,1175,73.50,,,
,Koregaon Park,,2 bhk,2,1425,80.00,,,
,Swargate,,1 bhk,1,1200,20.00,,,
,Karve Nagar,,3 bhk,3,1200,56.12,,,
,Karve Nagar,,2 bhk,2,1255,67.00,,,
